Stock No.,Institution name,Genus,Species,Division,Class,Synonym,Place name,Habitats,Details of habitat,Details on the freshwater environment,Details on the marine environment,State of algal and cyanobacterial strain,Preservation state,Cryopreservation,Environmental characteristics,Physiological and ecological characteristics,"Other characteristics
"
NIES-1028,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Teganuma,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Toxicity,Planktonic,"
"
NIES-1029,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Neuglobsow,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Toxicity,Planktonic,"
"
NIES-1031,National Institute for Environmental Studies,Chroogloeocystis,siderophila,Cyanophyta,Cyanophyceae,,"La Duke Hot Spring,",,,Hot spring,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Biofilm process,"Thermophilic; Gram negative, Iron tolerance (Brown et al. 2005)","Genome decoded strain (Zhu et al. 2017)
"
NIES-1032,National Institute for Environmental Studies,Porphyridium,sp.,Rhodophyta,Porphyridiophyceae,,"Iriomote Isl.,",,,,Mangrove,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,,,"
"
NIES-1033,National Institute for Environmental Studies,Porphyridium,sp.,Rhodophyta,Porphyridiophyceae,,"Iriomote Isl.,",,,,Mangrove,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,,,"
"
NIES-1034,National Institute for Environmental Studies,Porphyridium,sp.,Rhodophyta,Porphyridiophyceae,,,,,,Mangrove,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Color: greenish,,"
"
NIES-1035,National Institute for Environmental Studies,Porphyridium,sp.,Rhodophyta,Porphyridiophyceae,,,,,,Shore,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,,,"
"
NIES-1036,National Institute for Environmental Studies,Rhodella,sp.,Rhodophyta,Rhodellophyceae,,"Iriomote Isl.,",,,,Mangrove,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,,,"
"
NIES-1037,National Institute for Environmental Studies,Rhodella,sp.,Rhodophyta,Rhodellophyceae,,"Iriomote Isl.,",,,,Mangrove,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,,,"
"
NIES-1038,National Institute for Environmental Studies,Gonium,multicoccum,Chlorophyta,Chlorophyceae,,,,,,,Unialgal; Clonal; Axenic[2018 Feb],Subculture,Uncertain,,Phototaxis,"
"
NIES-1039,National Institute for Environmental Studies,Gonium,multicoccum,Chlorophyta,Chlorophyceae,,,,,,,Unialgal; Clonal; Axenic[2018 Feb],Subculture,Uncertain,,Phototaxis,"
"
NIES-1040,National Institute for Environmental Studies,Raphidiopsis,raciborskii,Cyanophyta,Cyanophyceae,Anabaena raciborskii Wo?oszy?ska 1912; Cylindrospermopsis raciborskii (Wo?oszy?ska) Seenayya & Subba Raju 1972,"Shinobazu-no-ike Pond,",,,,,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,Cyanobacterial water bloom (aoko); Non-toxic,Planktonic,"
"
NIES-1041,National Institute for Environmental Studies,Raphidiopsis,raciborskii,Cyanophyta,Cyanophyceae,Anabaena raciborskii Wo?oszy?ska 1912; Cylindrospermopsis raciborskii (Wo?oszy?ska) Seenayya & Subba Raju 1972,"Shinobazu-no-ike Pond,",,,,,Unialgal; Clonal; Axenic[2018 Jan],Subculture,Uncertain,Cyanobacterial water bloom (aoko); Non-toxic,Planktonic,"
"
NIES-1043,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Neuglobsow,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Toxicity,Planktonic,"
"
NIES-1044,National Institute for Environmental Studies,Schizocladia,ischiensis,Heterokontophyta,Schizocladiophyceae,,"Ischia Isl.,",,,,Coastal,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,,,"Authentic strain (Kawai et al. 2003)
"
NIES-1045,National Institute for Environmental Studies,Cylindrotheca,closterium,Heterokontophyta,Bacillariophyceae,Ceratoneis closterium Ehrenberg 1839; Nitzschia closterium (Ehrenberg) W.Smith 1853; Nitzschiella closterium (Ehrenberg) Rabenhorst 1864; Nitzschia longissima var. closterium (Ehrenberg) Van Heurck 1885; Homoeocladia closterium (Ehrenberg) Kuntze 1898; Nitzschiella tenuirostris Mereschkowsky 1901,"Tskuba University, Shimoda Marine Research Center,",,,,Coastal,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,,Epilithic,"
"
NIES-1046,National Institute for Environmental Studies,Cylindrotheca,fusiformis,Heterokontophyta,Bacillariophyceae,,"Nantucket Sound,",,,,Coastal,Unialgal; Axenic[2018 Feb],Subculture,Uncertain,,Benthic,"
"
NIES-1047,National Institute for Environmental Studies,Cylindrotheca,sp.,Heterokontophyta,Bacillariophyceae,,,,,,,Unialgal; Clonal; Non-axenic,Cryopreservation,Uncertain,,Epiphytic,"
"
NIES-1048,National Institute for Environmental Studies,Chlamydomonas,noctigama,Chlorophyta,Chlorophyceae,,,,,,,Unialgal; Clonal; Axenic[2018 Feb],Cryopreservation,Uncertain,,Phototaxis,"
"
NIES-1050,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,Eutrophic; Surface,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko),,"ST34 (Tanabe et al. 2007)
"
NIES-1051,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,Eutrophic; Surface,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko),,"ST34 (Tanabe et al. 2007)
"
NIES-1052,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,Eutrophic; Surface,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko),,"ST24 (Tanabe et al. 2007)
"
NIES-1053,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,Eutrophic; Surface,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Microcystin not detected,,"ST25 (Tanabe et al. 2007)
"
NIES-1054,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,Eutrophic; Surface,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Microcystin not detected,,"ST24 (Tanabe et al. 2007)
"
NIES-1055,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,Eutrophic; Surface,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Toxicity; microcystin (Tanabe et al. 2009b),,"Reisolated from TAC 38; ST26 (Tanabe et al. 2007)
"
NIES-1056,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,Eutrophic; Surface,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko),,"ST1 (Tanabe et al. 2007)
"
NIES-1057,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,Eutrophic; Surface,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko),,"ST1 (Tanabe et al. 2007)
"
NIES-1058,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,Eutrophic; Surface,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Toxicity; microcystin (Tanabe et al. 2009b),,"Reisolated from TAC 45; ST26 (Tanabe et al. 2007)
"
NIES-1059,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,Eutrophic; Surface,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Toxicity; microcystin (Tanabe et al. 2009b),,"ST26 (Tanabe et al. 2007)
"
NIES-1060,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Suwa,",,Eutrophic; Surface,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko),,"ST9 (Tanabe et al. 2007)
"
NIES-1061,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Suwa,",,Eutrophic; Surface,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Microcystin not detected,,"ST9 (Tanabe et al. 2007)
"
NIES-1062,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Suwa,",,Eutrophic; Surface,Lake,,Unialgal; Clonal; Axenic[2018 Feb],Cryopreservation,Yes,Cyanobacterial water bloom (aoko),,"Reisolated from TAC 57; ST14 (Tanabe et al. 2007)
"
NIES-1063,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Shirakaba,",,Eutrophic; Surface,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Toxicity; microcystin (Tanabe et al. 2009b),,"ST29 (Tanabe et al. 2007)
"
NIES-1064,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Shirakaba,",,Eutrophic; Surface,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Toxicity; microcystin (Tanabe et al. 2009b),,"ST29 (Tanabe et al. 2007)
"
NIES-1065,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kutsuzawa,",,Eutrophic; Surface,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Toxicity; microcystin (Tanabe et al. 2009b),,"ST4 (Tanabe et al. 2007)
"
NIES-1066,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kutsuzawa,",,Eutrophic; Surface,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Toxicity; microcystin (Tanabe et al. 2009b),,"ST4 (Tanabe et al. 2007)
"
NIES-1067,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Chikatou-ike Pond,",,Eutrophic; Surface,Pond,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Microcystin not detected,,"Reisolated from TAC 65; ST27 (Tanabe et al. 2007)
"
NIES-1068,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Rokusuke-ike Pond,",,Eutrophic; Surface,Pond,,Unialgal; Clonal; Non-axenic,Cryopreservation,No,Cyanobacterial water bloom (aoko); Microcystin not detected,,"Reisolated from TAC 66; ST27 (Tanabe et al. 2007)
"
NIES-1069,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Rokusuke-ike Pond,",,Eutrophic; Surface,Pond,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Toxicity; microcystin (Tanabe et al. 2009b),,"ST35 (Tanabe et al. 2007)
"
NIES-1070,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Rokusuke-ike Pond,",,Eutrophic; Surface,Pond,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Toxicity; microcystin (Tanabe et al. 2009b),,"Reisolated from TAC 69; ST36 (Tanabe et al. 2007)
"
NIES-1071,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,,,Eutrophic; Surface,,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Toxicity; microcystin,,"Reisolated from TAC 70
"
NIES-1072,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,,,Eutrophic; Surface,,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Toxicity; microcystin (Tanabe et al. 2009b),,"Reisolated from TAC 71; ST4 (Tanabe et al. 2007)
"
NIES-1073,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,,,Eutrophic; Surface,,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko),,"
"
NIES-1074,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Yogo,",,Eutrophic; Surface,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Microcystin not detected,,"Reisolated from TAC 73
"
NIES-1075,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Yogo,",,Eutrophic; Surface,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko),,"ST63 (Tanabe et al. 2007)
"
NIES-1076,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Yogo,",,Eutrophic; Surface,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Microcystin not detected,,"Reisolated from TAC 75; ST64 (Tanabe et al. 2007)
"
NIES-1077,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Yogo,",,Eutrophic; Surface,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko),,"ST37 (Tanabe et al. 2007)
"
NIES-1078,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Mikata,",,Eutrophic; Surface,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko),,"
"
NIES-1079,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Suigetsu,",,Eutrophic; Surface,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Microcystin not detected,,"Reisolated from TAC 80
"
NIES-1080,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Suigetsu,",,Eutrophic; Surface,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Microcystin not detected,,"Reisolated from TAC 81
"
NIES-1081,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Koyama-ike Pond,",,Eutrophic; Surface,Pond,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Microcystin not detected,,"Reisolated from TAC 82
"
NIES-1082,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Koyama-ike Pond,",,Eutrophic; Surface,Pond,,Unialgal; Clonal; Axenic[2018 Feb],Cryopreservation,No,Cyanobacterial water bloom (aoko),,"Reisolated from TAC 83
"
NIES-1083,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Ukiginu-ike Pond,",,Eutrophic; Surface,Pond,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Microcystin not detected,,"
"
NIES-1084,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Ukiginu-ike Pond,",,Eutrophic; Surface,Pond,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Microcystin not detected,,"
"
NIES-1085,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Koshi-ike Pond,",,Eutrophic; Surface,Pond,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Toxicity; microcystin (Tanabe et al. 2009b),,"Reisolated from TAC 86; ST28 (Tanabe et al. 2007)
"
NIES-1086,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Koshi-ike Pond,",,Eutrophic; Surface,Pond,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Toxicity; microcystin,,"Reisolated from TAC 87
"
NIES-1087,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Koshi-ike Pond,",,Eutrophic; Surface,Pond,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko),,"
"
NIES-1088,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Koshi-ike Pond,",,Eutrophic; Surface,Pond,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko),,"
"
NIES-1089,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Koshi-ike Pond,",,Eutrophic; Surface,Pond,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko),,"
"
NIES-1090,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Barato,",,Eutrophic; Surface,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Microcystin not detected,,"Reisolated from TAC 91; ST2 (Tanabe et al. 2007)
"
NIES-1091,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Barato,",,Eutrophic; Surface,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Toxicity; microcystin (Tanabe et al. 2009b); Offensive odor,,"Reisolated from TAC 92; ST26 (Tanabe et al. 2007)
"
NIES-1092,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Barato,",,Eutrophic; Surface,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Toxicity; microcystin (Tanabe et al. 2009b),,"Reisolated from TAC 93; ST26 (Tanabe et al. 2007)
"
NIES-1093,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Barato,",,Eutrophic; Surface,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Toxicity; microcystin (Tanabe et al. 2009b),,"Reisolated from TAC 95; ST65 (Tanabe et al. 2007)
"
NIES-1094,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Shirakaba,",,Eutrophic; Surface,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko),,"ST39 (Tanabe et al. 2007)
"
NIES-1095,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Shirakaba,",,Eutrophic; Surface,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Toxicity; microcystin (Tanabe et al. 2009b),,"ST29 (Tanabe et al. 2007)
"
