Stock No.,Institution name,Genus,Species,Division,Class,Synonym,Place name,Habitats,Details of habitat,Details on the freshwater environment,Details on the marine environment,State of algal and cyanobacterial strain,Preservation state,Cryopreservation,Environmental characteristics,Physiological and ecological characteristics,"Other characteristics
"
NIES-3436,National Institute for Environmental Studies,Chattonella,marina,Heterokontophyta,Raphidophyceae,Chattonella ovata Y.Hara & Chihara 1982,"Bisan-Seto, Seto Inland Sea",,,,,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,,,"
"
NIES-3437,National Institute for Environmental Studies,Chattonella,marina,Heterokontophyta,Raphidophyceae,Chattonella ovata Y.Hara & Chihara 1982,"Harima-Nada, Seto Inland Sea",,,,,Unialgal; Clonal: Non-axenic,Subculture,Uncertain,,,"
"
NIES-3438,National Institute for Environmental Studies,Prorocentrum,triestinum,Dinophyta,Dinophyceae,Prorocentrum pyrenoideum Bursa 1959; Prorocentrum setoutii Hada 1975,"Nomi Bay,",,,,Inner bay,Unialgal; Non-axenic,Subculture,Uncertain,,,"
"
NIES-3441,National Institute for Environmental Studies,Prorocentrum,concavum,Dinophyta,Dinophyceae,Prorocentrum faustiae S.L.Morton 1998; Prorocentrum arabianum Morton & Faust 2002,"Mugi,",,,,,Unialgal; Non-axenic,Subculture,Uncertain,,Benthic,"
"
NIES-3442,National Institute for Environmental Studies,Prorocentrum,sp.,Dinophyta,Dinophyceae,,"Sukumo,",,,,,Unialgal; Non-axenic,Subculture,Uncertain,,Benthic,"
"
NIES-3443,National Institute for Environmental Studies,Prorocentrum,sp.,Dinophyta,Dinophyceae,,"Aka Isl.,",,,,,Unialgal; Non-axenic,Subculture,Uncertain,,Benthic,"
"
NIES-3444,National Institute for Environmental Studies,Prorocentrum,dentatum,Dinophyta,Dinophyceae,Prorocentrum monacense Kufferath 1957,"Harima-Nada, Seto Inland Sea",,,,,Unialgal; Non-axenic,Subculture,Uncertain,,,"
"
NIES-3445,National Institute for Environmental Studies,Alexandrium,catenella,Dinophyta,Dinophyceae,Gonyaulax catenella Whedon & Kofoid 1936; Protogonyaulax catenella (Whedon & Kofoid) Taylor 1979; Gessnerium catenella (Whedon & Kofoid) F.J.R.Taylor 1979; Gonyaulax washingtonensis Hsu 1967; Alexandrium fundyense Balech 1985,"Tanabe Bay,",,,,Inner bay,Unialgal; Non-axenic,Subculture,Uncertain,,,"
"
NIES-3446,National Institute for Environmental Studies,Alexandrium,catenella,Dinophyta,Dinophyceae,Gonyaulax catenella Whedon & Kofoid 1936; Protogonyaulax catenella (Whedon & Kofoid) Taylor 1979; Gessnerium catenella (Whedon & Kofoid) F.J.R.Taylor 1979; Gonyaulax washingtonensis Hsu 1967; Alexandrium fundyense Balech 1985,"Uragami,",,,,,Unialgal; Non-axenic,Subculture,Uncertain,,,"
"
NIES-3447,National Institute for Environmental Studies,Alexandrium,fraterculum,Dinophyta,Dinophyceae,,"Harima-Nada, Seto Inland Sea",,,,,Unialgal; Non-axenic,Subculture,Uncertain,,,"
"
NIES-3448,National Institute for Environmental Studies,Gambierdiscus,toxicus,Dinophyta,Dinophyceae,,"Aka Isl.,",,,,,Unialgal; Non-axenic,Subculture,Uncertain,,,"
"
NIES-3449,National Institute for Environmental Studies,Gambierdiscus,toxicus,Dinophyta,Dinophyceae,,"Cape Shionomisaki,",,,,,Unialgal; Non-axenic,Subculture,Uncertain,,,"
"
NIES-3451,National Institute for Environmental Studies,Fukuyoa,yasumotoi,Dinophyta,Dinophyceae,Gambierdiscus yasumotoi M.J.Holmes 1998,"Ishigaki Isl.,",,,,,Unialgal; Non-axenic,Subculture,Uncertain,,,"
"
NIES-3452,National Institute for Environmental Studies,Karenia,mikimotoi,Dinophyta,Dinophyceae,Gymnodinium mikimotoi Miyake et Kominami ex Oda; Gymnodinium nagasakiense Takayama & Adachi,"Hiuchi-nada, Seto Inland Sea",,,,,Unialgal; Non-axenic,Subculture,Uncertain,,,"
"
NIES-3454,National Institute for Environmental Studies,Akashiwo,sanguinea,Dinophyta,Dinophyceae,,"Harima-Nada, Seto Inland Sea",,,,,Unialgal; Non-axenic,Subculture,Uncertain,,,"
"
NIES-3572,National Institute for Environmental Studies,Gymnomonas,nepalensis,Chlorophyta,Chlorophyceae,,,,,Meadow with shrubs,,Unialgal; Clonal; Non-axenic,Cryopreservation,Uncertain,,,"Authentic strain  (Watanabe & Nakada 2018); Type specimen (NIES-50015, Holotype)
"
NIES-3574,National Institute for Environmental Studies,Parietochloris,toyamaensis,Chlorophyta,Trebouxiophyceae,,"Gofuku,",,,Garden soil,,Unialgal; Clonal; Non-axenic,Cryopreservation,Uncertain,,,"Authentic strain  (Watanabe et al. 2022); Type specimen (NIES-50022, Holotype)
"
NIES-3575,National Institute for Environmental Studies,Koshicola,spirodelophila,Chlorophyta,Chlorophyceae,,"Gofuku,",,,Reservoir,,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,,Attached,"Authentic strain (Watanabe et al. 2016)
"
NIES-3576,National Institute for Environmental Studies,Nitzschia,sp.,Heterokontophyta,Bacillariophyceae,,"Miyara River,",,,,Mangrove,Unialgal; Clonal; Axenic,Cryopreservation,Uncertain,,Heterotrophic; Benthic; Nonphotosynthetic plastids,"Genome decoded strain (Kamikawa et al. 2018)
"
NIES-3577,National Institute for Environmental Studies,Nitzschia,sp.,Heterokontophyta,Bacillariophyceae,,"Miyara River,",,,,Mangrove,Unialgal; Clonal; Axenic,Cryopreservation,Uncertain,,Heterotrophic; Benthic; Nonphotosynthetic plastids,"
"
NIES-3578,National Institute for Environmental Studies,Nitzschia,sp.,Heterokontophyta,Bacillariophyceae,,"Teichi Beach,",,,,Mangrove,Unialgal; Clonal; Axenic,Cryopreservation,Uncertain,,Heterotrophic; Benthic; Nonphotosynthetic plastids,"
"
NIES-3579,National Institute for Environmental Studies,Nitzschia,sp.,Heterokontophyta,Bacillariophyceae,,,,,,Mangrove,Unialgal; Clonal; Axenic,Cryopreservation,Uncertain,,Heterotrophic; Benthic; Nonphotosynthetic plastids,"
"
NIES-3580,National Institute for Environmental Studies,Nitzschia,sp.,Heterokontophyta,Bacillariophyceae,,,,,,Mangrove,Unialgal; Clonal; Axenic,Cryopreservation,Uncertain,,Heterotrophic; Benthic; Nonphotosynthetic plastids,"
"
NIES-3581,National Institute for Environmental Studies,Nitzschia,sp.,Heterokontophyta,Bacillariophyceae,,,,,,Mangrove,Unialgal; Clonal; Axenic,Cryopreservation,Uncertain,,Heterotrophic; Benthic; Nonphotosynthetic plastids,"Genome decoded strain (Kamikawa et al. 2018)
"
NIES-3583,National Institute for Environmental Studies,Raphidiopsis,raciborskii,Cyanophyta,Cyanophyceae,Anabaena raciborskii Wo?oszy?ska 1912; Cylindrospermopsis raciborskii (Wo?oszy?ska) Seenayya & Subba Raju 1972,"Nagura Dam, Ishigaki Isl.,",,,Reservoir,,Clonal; Non-axenic,Subculture,Uncertain,Cyanobacterial water bloom (aoko),,"
"
NIES-3584,National Institute for Environmental Studies,Raphidiopsis,raciborskii,Cyanophyta,Cyanophyceae,Anabaena raciborskii Wo?oszy?ska 1912; Cylindrospermopsis raciborskii (Wo?oszy?ska) Seenayya & Subba Raju 1972,"Sokobaru Dam, Ishigaki Isl.,",,Mesotrophic,Dam Reservoir,,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,Cyanobacterial water bloom (aoko); Toxicity; deoxycylindrospermopsin,,"
"
NIES-3585,National Institute for Environmental Studies,Nodularia,sp.,Cyanophyta,Cyanophyceae,,"Yatsu Tidal Flat,",,,,Tidal flat,Unialgal; Clonal; Axenic,Cryopreservation,Uncertain,,Nitrogen fixation@(aerobic condition); Benthic; Epiphytic,"Genome decoded strain
"
NIES-3586,National Institute for Environmental Studies,Chattonella,marina,Heterokontophyta,Raphidophyceae,Hornellia marina Subrahmanyan 1954,Oosaka Bay,,,,Inner bay,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,,,"
"
NIES-3587,National Institute for Environmental Studies,Heterosigma,akashiwo,Heterokontophyta,Raphidophyceae,Entomosigma akashiwo Y.Hada; Chattonella akashiwo (Y.Hada) Loeblich III 1979; Olisthodiscus carterae Hulburt 1965; Heterosigma inlandica Hada 1968; Chattonella inlandica (Y.Hada) Loeblich III & Fine 1977; Heterosigma carterae (Hulbert) F.J.R.Taylor 1992,"Kinko Bay,",,,,Inner bay,Unialgal; Non-axenic,Subculture,Uncertain,,,"
"
NIES-3590,National Institute for Environmental Studies,Amphidinium,carterae,Dinophyta,Dinophyceae,,"Muroto Cape,",,,,,Unialgal; Non-axenic,Subculture,Uncertain,,,"
"
NIES-3591,National Institute for Environmental Studies,Amphidinium,sp.,Dinophyta,Dinophyceae,,"Muroto Cape,",,,,,Unialgal; Non-axenic,Subculture,Uncertain,,,"
"
