;LEGE 03284;N15002;Cuspidothrix sp.;CIIMAR;F;Portugal;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06102;N15003;Leptolyngbya cf. halophila;CIIMAR;S ;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 11428;N15004;Cyanobium sp.;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 00049;N15021;unidentified Oscillatoriales;CIIMAR;F;Morocco;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06118;N16029;Leptolyngbya mycoidea;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06127;N16030;Cyanobium sp.;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 07089;N16031;Leptolyngbya sp;CIIMAR;B;Portugal;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 13416;N16032;Leptolyngbya sp;CIIMAR;F;Portugal;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 00250;N16033;Anabaena aphanizomenioides;CIIMAR;F;Portugal;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 00259;N16034;Dolichospermum sp.;CIIMAR;F;Portugal;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06135;N16035;Cyanobium sp.;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 12431;N16036;Cyanobium gracile;CIIMAR;B;Portugal;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06110;N16037;Nodosilinea sp. ;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06114;N16038;Plectonema cf. radiosum;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06130;N16039;Cyanobium sp. ;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06143;N16040;Cyanobium sp. ;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06078;N16041;cf. Oxynema acuminatum;CIIMAR;B;Portugal;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06119;N16042;Nodosilinea sp.;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06139;N16043;Cyanobium sp. ;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 07364;N16044;Nodosilinea sp.;CIIMAR;B;Portugal;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 00249;N16045;Sphaerospermopsis sp.;CIIMAR;F;Portugal;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06137;N16046;Cyanobium sp.;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 07314;N16047;Nodosilinea sp.;CIIMAR;B;Portugal;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE XX062;N16048;unidentified filamentous cyanobacterium;CIIMAR;UNKNOWN;UNKNOWN;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06121;N16049;Leptolyngbya sp.;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06124;N16050;Nodosilinea sp.;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
